DATE,STORE,STORE_NAME,SKU,QUANTITY
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00008,7
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00005,2
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00027,2
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00043,2
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00038,2
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00068,2
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00049,5
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00066,4
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00081,4
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00073,3
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00078,3
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00100,5
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00099,2
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00140,8
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00129,2
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00171,3
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00186,5
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00239,1
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00250,1
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00277,4
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00294,3
2025-08-02 15:45:51.978899,ST001,Delhi Main Store,SKU00300,2
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00006,3
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00018,3
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00024,5
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00047,7
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00042,4
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00032,8
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00083,4
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00115,7
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00136,5
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00133,3
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00141,4
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00162,3
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00153,2
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00168,3
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00173,5
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00286,5
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00301,4
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00308,5
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00313,1
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00334,3
2025-08-02 15:45:51.978899,ST002,Mumbai Central,SKU00336,3
2025-08-02 15:45:51.978899,ST003,Bangalore Forum,SKU00014,5
2025-08-02 15:45:51.978899,ST003,Bangalore Forum,SKU00006,2
