STORE,STORE_NAME,SKU,STOCK
ST001,Delhi Main Store,SKU00001,3
ST001,Delhi Main Store,SKU00002,2
ST001,Delhi Main Store,SKU00003,0
ST001,Delhi Main Store,SKU00004,11
ST001,Delhi Main Store,SKU00005,11
ST001,Delhi Main Store,SKU00006,2
ST001,Delhi Main Store,SKU00007,0
ST001,Delhi Main Store,SKU00008,5
ST001,Delhi Main Store,SKU00009,9
ST001,Delhi Main Store,SKU00010,6
ST001,Delhi Main Store,SKU00011,5
ST001,Delhi Main Store,SKU00012,3
ST001,Delhi Main Store,SKU00013,6
ST001,Delhi Main Store,SKU00014,0
ST001,Delhi Main Store,SKU00015,10
ST001,Delhi Main Store,SKU00016,0
ST001,Delhi Main Store,SKU00017,4
ST001,Delhi Main Store,SKU00018,0
ST001,Delhi Main Store,SKU00019,0
ST001,Delhi Main Store,SKU00020,3
ST001,Delhi Main Store,SKU00021,2
ST001,Delhi Main Store,SKU00022,7
ST001,Delhi Main Store,SKU00023,6
ST001,Delhi Main Store,SKU00024,2
ST001,Delhi Main Store,SKU00025,2
ST001,Delhi Main Store,SKU00026,12
ST001,Delhi Main Store,SKU00027,3
ST001,Delhi Main Store,SKU00028,15
ST001,Delhi Main Store,SKU00029,4
ST001,Delhi Main Store,SKU00030,10
ST001,Delhi Main Store,SKU00031,6
ST001,Delhi Main Store,SKU00032,0
ST001,Delhi Main Store,SKU00033,5
ST001,Delhi Main Store,SKU00034,0
ST001,Delhi Main Store,SKU00035,0
ST001,Delhi Main Store,SKU00036,5
ST001,Delhi Main Store,SKU00037,9
ST001,Delhi Main Store,SKU00038,3
ST001,Delhi Main Store,SKU00039,3
ST001,Delhi Main Store,SKU00040,9
ST001,Delhi Main Store,SKU00041,2
ST001,Delhi Main Store,SKU00042,3
ST001,Delhi Main Store,SKU00043,6
ST001,Delhi Main Store,SKU00044,4
ST001,Delhi Main Store,SKU00045,12
ST001,Delhi Main Store,SKU00046,12
ST001,Delhi Main Store,SKU00047,8
ST001,Delhi Main Store,SKU00048,4
ST001,Delhi Main Store,SKU00049,0
ST001,Delhi Main Store,SKU00050,0
ST001,Delhi Main Store,SKU00051,6
ST001,Delhi Main Store,SKU00052,0
ST001,Delhi Main Store,SKU00053,3
ST001,Delhi Main Store,SKU00054,1
ST001,Delhi Main Store,SKU00055,5
ST001,Delhi Main Store,SKU00056,0
ST001,Delhi Main Store,SKU00057,1
ST001,Delhi Main Store,SKU00058,6
ST001,Delhi Main Store,SKU00059,0
ST001,Delhi Main Store,SKU00060,1
ST001,Delhi Main Store,SKU00061,0
ST001,Delhi Main Store,SKU00062,0
ST001,Delhi Main Store,SKU00063,0
ST001,Delhi Main Store,SKU00064,1
ST001,Delhi Main Store,SKU00065,1
ST001,Delhi Main Store,SKU00066,2
ST001,Delhi Main Store,SKU00067,5
ST001,Delhi Main Store,SKU00068,3
ST001,Delhi Main Store,SKU00069,1
ST001,Delhi Main Store,SKU00070,1
ST001,Delhi Main Store,SKU00071,7
ST001,Delhi Main Store,SKU00072,0
ST001,Delhi Main Store,SKU00073,3
ST001,Delhi Main Store,SKU00074,1
ST001,Delhi Main Store,SKU00075,2
ST001,Delhi Main Store,SKU00076,0
ST001,Delhi Main Store,SKU00077,2
ST001,Delhi Main Store,SKU00078,4
ST001,Delhi Main Store,SKU00079,3
ST001,Delhi Main Store,SKU00080,6
ST001,Delhi Main Store,SKU00081,2
ST001,Delhi Main Store,SKU00082,6
ST001,Delhi Main Store,SKU00083,2
ST001,Delhi Main Store,SKU00084,3
ST001,Delhi Main Store,SKU00085,2
ST001,Delhi Main Store,SKU00086,2
ST001,Delhi Main Store,SKU00087,4
ST001,Delhi Main Store,SKU00088,3
ST001,Delhi Main Store,SKU00089,1
